location,year,age,sex,mx,cause,prev
Kenya,1990,60,Male,0.02602809,Stomach cancer,1.0233621821514401e-4
Kenya,1990,60,Female,0.01991797,Seborrhoeic dermatitis,8.0842731547411e-4
Kenya,1990,60,Female,0.01991797,Stomach cancer,7.508462240714999e-5
Kenya,1990,61,Male,0.02758664,Seborrhoeic dermatitis,8.178431330043321e-4
Kenya,1990,61,Male,0.02758664,Stomach cancer,1.0233621821514401e-4
Kenya,1990,61,Female,0.02114799,Seborrhoeic dermatitis,8.0842731547411e-4
Kenya,1990,61,Female,0.02114799,Stomach cancer,7.508462240714999e-5
Kenya,1990,62,Male,0.03013172,Seborrhoeic dermatitis,8.178431330043321e-4
Kenya,1990,62,Male,0.03013172,Stomach cancer,1.0233621821514401e-4
Kenya,1990,62,Female,0.02333911,Seborrhoeic dermatitis,8.0842731547411e-4
Kenya,1990,62,Female,0.02333911,Stomach cancer,7.508462240714999e-5
Kenya,1990,63,Male,0.03245391,Seborrhoeic dermatitis,8.178431330043321e-4
Kenya,1990,63,Male,0.03245391,Stomach cancer,1.0233621821514401e-4
Kenya,1990,63,Female,0.02535176,Seborrhoeic dermatitis,8.0842731547411e-4
Kenya,1990,63,Female,0.02535176,Stomach cancer,7.508462240714999e-5
Kenya,1990,64,Male,0.0349887,Seborrhoeic dermatitis,8.178431330043321e-4
Kenya,1990,64,Male,0.0349887,Stomach cancer,1.20791083867426e-4
Kenya,1990,64,Female,0.02761228,Seborrhoeic dermatitis,8.0842731547411e-4
Kenya,1990,64,Female,0.02761228,Stomach cancer,9.1559947482928e-5
Kenya,1990,65,Male,0.03780671,Seborrhoeic dermatitis,8.032142366643719e-4
Kenya,1990,65,Male,0.03780671,Stomach cancer,1.20791083867426e-4
Kenya,1990,65,Female,0.03018188,Seborrhoeic dermatitis,8.13011082832326e-4
Kenya,1990,65,Female,0.03018188,Stomach cancer,9.1559947482928e-5
Kenya,1990,66,Male,0.03992827,Seborrhoeic dermatitis,8.032142366643719e-4
Kenya,1990,66,Male,0.03992827,Stomach cancer,1.20791083867426e-4
Kenya,1990,66,Female,0.03215727,Seborrhoeic dermatitis,8.13011082832326e-4
Kenya,1990,66,Female,0.03215727,Stomach cancer,9.1559947482928e-5
Kenya,1990,67,Male,0.04262731,Seborrhoeic dermatitis,8.032142366643719e-4
Kenya,1990,67,Male,0.04262731,Stomach cancer,1.20791083867426e-4
Kenya,1990,67,Female,0.03461996,Seborrhoeic dermatitis,8.13011082832326e-4
Kenya,1990,67,Female,0.03461996,Stomach cancer,9.1559947482928e-5
Kenya,1990,68,Male,0.04571398,Seborrhoeic dermatitis,8.032142366643719e-4
Kenya,1990,68,Male,0.04571398,Stomach cancer,1.20791083867426e-4
Kenya,1990,68,Female,0.03756426,Seborrhoeic dermatitis,8.13011082832326e-4
Kenya,1990,68,Female,0.03756426,Stomach cancer,9.1559947482928e-5
Kenya,1990,69,Male,0.04886025,Seborrhoeic dermatitis,8.032142366643719e-4
Kenya,1990,69,Male,0.04886025,Stomach cancer,1.5725956549173e-4
Kenya,1990,69,Female,0.04042644,Seborrhoeic dermatitis,8.13011082832326e-4
Kenya,1990,69,Female,0.04042644,Stomach cancer,1.0509847060366802e-4
Kenya,1990,70,Male,0.05344499,Seborrhoeic dermatitis,0.0011452801657657482
Kenya,1990,70,Male,0.05344499,Stomach cancer,1.5725956549173e-4
Kenya,1990,70,Female,0.04492897,Seborrhoeic dermatitis,0.001158288051402338
Kenya,1990,70,Female,0.04492897,Stomach cancer,1.0509847060366802e-4
Kenya,1990,71,Male,0.05648826,Seborrhoeic dermatitis,0.0011452801657657482
Kenya,1990,71,Male,0.05648826,Stomach cancer,1.5725956549173e-4
Kenya,1990,71,Female,0.04751074,Seborrhoeic dermatitis,0.001158288051402338
Kenya,1990,71,Female,0.04751074,Stomach cancer,1.0509847060366802e-4
Kenya,1990,72,Male,0.06194441,Seborrhoeic dermatitis,0.0011452801657657482
Kenya,1990,72,Male,0.06194441,Stomach cancer,1.5725956549173e-4
Kenya,1990,72,Female,0.05255037,Seborrhoeic dermatitis,0.001158288051402338
Kenya,1990,72,Female,0.05255037,Stomach cancer,1.0509847060366802e-4
