year,age,expos,sex
1960,27,192.3085,f
1960,28,186.1895,f
1960,29,180.9115,f
1960,30,175.2425,f
1960,31,169.2785,f
1960,32,164.247,f
1960,33,160.3625,f
1960,34,156.953,f
1960,35,153.488,f
1960,36,150.3275,f
1960,37,146.397,f
1960,38,140.421,f
1960,39,133.499,f
1960,40,127.1235,f
1960,41,120.8935,f
1960,42,115.508,f
1960,43,112.363,f
1960,44,110.318,f
1960,45,108.0555,f
1960,46,105.732,f
1960,47,103.441,f
1960,48,100.5815,f
1960,49,97.328,f
1960,50,94.3845,f
1960,51,91.938,f
1960,52,88.6295,f
1960,53,83.7345,f
1960,54,78.173,f
1960,55,72.987,f
1960,56,67.735,f
1960,57,63.7195,f
1960,58,62.402,f
1960,59,62.488,f
1960,60,62.4435,f
1960,61,62.262,f
1960,62,61.6325,f
1960,63,59.498,f
1960,64,56.4185,f
1960,65,53.5785,f
1960,66,50.841,f
1960,67,48.0425,f
1960,68,45.72,f
1960,69,43.5185,f
1960,70,41.072,f
1960,71,38.566,f
1960,72,35.5315,f
1960,73,31.322,f
1960,74,26.537,f
1960,75,22.066,f
1960,76,17.868,f
1960,77,14.263,f
1960,78,11.7325,f
1960,79,9.7205,f
1960,80,7.838,f
1960,81,6.2335,f
1960,82,4.8075,f
1960,83,3.4295,f
1960,84,2.27,f
1960,85,1.4475,f
1960,86,0.8785,f
1960,87,0.543,f
1960,88,0.4,f
1960,89,0.3305,f
1960,90,0.2675,f
1960,91,0.214,f
1960,92,0.159,f
1960,93,0.1015,f
1960,94,0.059,f
1960,95,0.036,f
1960,96,0.0235,f
1960,97,0.0165,f
1960,98,0.0125,f
1960,99,0.011,f
1960,100+,0.019,f
1961,0,502.1305,f
1961,1,476.556,f
1961,2,462.84,f
1961,3,448.1745,f
1961,4,423.592,f
1961,5,400.558,f
1961,6,380.402,f
1961,7,354.116,f
1961,8,326.5055,f
1961,9,304.896,f
1961,10,279.9375,f
1961,11,274.9905,f
1961,12,274.5215,f
1961,13,267.673,f
1961,14,262.3585,f
1961,15,255.84,f
1961,16,248.9095,f
1961,17,248.123,f
1961,18,250.9365,f
1961,19,255.3715,f
1961,20,256.257,f
1961,21,251.6155,f
1961,22,244.138,f
1961,23,232.8595,f
1961,24,223.8345,f
1961,25,214.7125,f
1961,26,207.3025,f
1961,27,199.498,f
1961,28,191.1255,f
1961,29,186.257,f
1961,30,180.172,f
1961,31,174.192,f
1961,32,168.95,f
1961,33,163.419,f
1961,34,159.4475,f
1961,35,155.5325,f
1961,36,151.932,f
1961,37,148.785,f
1961,38,145.2675,f
1961,39,139.2315,f
1961,40,132.265,f
1961,41,126.014,f
1961,42,118.759,f
1961,43,114.0205,f
1961,44,111.6735,f
1961,45,109.556,f
1961,46,106.924,f
1961,47,104.1475,f
1961,48,102.1545,f
1961,49,99.5445,f
1961,50,96.2215,f
1961,51,93.384,f
1961,52,90.934,f
1961,53,87.298,f
1961,54,82.2345,f
